ES;nID;study;publication_year;species;phylo;class;order;taxon;mating_system;care;exploited_resource;study_type;resource_facet_manipulated;pred;axb;response_variable;r;N
E.S. 50;24;Lehtonen and Lindstrom 2004;2004;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices;obs;l;mean male size;b;mean body size of nest holding males (mm);-0.301;33
E.S. 51;24;Lehtonen and Lindstrom 2004;2004;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rock crevices;obs;quant;selection gradient;b;correlation between male size and male mating success (area of egg mass);0.18;65
E.S. 52;25;Lehtonen and Lindstrom 2008;2008;Archocentrus nigrofasciatus;Archocentrus_nigrofasciatus;Actinopterygii;Perciformes;2_pisc;monogamy;biparental;cave, shelter, flowerpot;exp_field;quant;mean male size;b;mean nest holding male body size (mm);-0.006;89
E.S. 53;31;Mousseau and Collins 1987;1987;Cottus cognatus;Cottus_cognatus;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;under rocks;obs;quant;mean male size;b;mean length of nest male (cm transformed in mm);0.301;67
E.S. 54;32;Muck et al 2013;2013;Gobiusculus flavescens;Gobiusculus_flavescens;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, pvc tubes;exp_lab;dispo;mean male size;b;Selection on male body length (mm);0.031;28
E.S. 55;32;Muck et al 2013;2013;Gobiusculus flavescens;Gobiusculus_flavescens;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shell, pvc tubes;exp_lab;dispo;mean male size;b;Selection on male body length (mm);-0.087;28
E.S. 56;39;Reichard et al 2009;2009;Rhodeus amarus;Rhodeus_amarus;Actinopterygii;Cypriniformes;2_pisc;polygamy;no_care;mussels shells;exp_lab;dispo;linear selection gradient (beta) ;b;number of offspring per body weight (mg);-0.099;60
E.S. 57;42;Singer et al 2006;2006;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;mussels shells;exp_field;quant;mean male size;b;mean size of succesful males;0.333;17
E.S. 58;42;Singer et al 2006;2006;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;mussels shells;exp_field;quant;mean male size;b;mean size of succesful males;-0.354;16
E.S. 59;47;Downhower & Brown 1980;1980;Cottus bairdi;Cottus_bairdi;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;cavities under rocks;exp_field;qualit;mean male size;b;mean size of nest males (mm);0.453334656;100
E.S. 60;47;Downhower & Brown 1980;1980;Cottus bairdi;Cottus_bairdi;Actinopterygii; Scorpaeniformes;2_pisc;polygamy;paternal;cavities under rocks;exp_field;qualit;mean male size;b;mean size of nest males (mm);0.635419105;52
E.S. 61;49;Lugli et al 1992;1992;Padogobius martensi;Padogobius_martensi;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rocks;obs;quant;mean male size;b;mean nest male lenght (mm);-0.132838808;281
E.S. 62;49;Lugli et al 1992;1992;Padogobius martensi;Padogobius_martensi;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;rocks;obs;quant;selection gradient;b;correlation between male size and number of eggs;-0.125;155
E.S. 63;54;Jones et al 2001 b;2001;Pomatoschistus minutus;Pomatoschistus_minutus;Actinopterygii;Perciformes;2_pisc;polygamy;paternal;shells and crevices;obs;quant;linear selection gradient (beta) ;b;number of females per dry somatic weight (mg);0.133676184;40
E.S. 64;13;Duckworth 2006;2006;Sialia mexicana;Sialia_mexicana;Aves;Passeriformes;4_aves;monogamy;biparental;tree hollows and nest box;obs;quant;selection gradient;b;standardized selection gradient for fecundity on tail lenght (mm);0.468;100
E.S. 65;13;Duckworth 2006;2006;Sialia mexicana;Sialia_mexicana;Aves;Passeriformes;4_aves;monogamy;biparental;tree hollows and nest box;obs;quant;selection gradient;b;standardized selection gradient for fecundity on tarsus lenght (mm);0.395;153
E.S. 66;13;Duckworth 2006;2006;Sialia mexicana;Sialia_mexicana;Aves;Passeriformes;4_aves;monogamy;biparental;tree hollows and nest box;obs;quant;selection gradient;b;standardized selection gradient for fecundity on wing lenght (mm);0.036;87
E.S. 67;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;quant;mean male size;b;mean body mass of nest owner males (g);-0.15;55
E.S. 68;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;quant;mean male size;b;mean tarsus length of nest owner males (mm);0;55
E.S. 69;20;Jacot et al 2009;2009;Cyanistes caeruleus;Cyanistes_caeruleus;Aves;Passeriformes;4_aves;polygamy;biparental;tree hollows and nest box;exp_field;quant;mean male size;b;mean wing length of nest owner males (mm);0.228;55
